710,697,802,823,633,652,515,415,0
704,702,796,821,575,666,507,400,0
693,701,798,817,522,649,517,396,0
686,698,800,819,511,637,529,402,0
681,690,799,822,510,624,528,408,0
678,688,802,820,512,624,519,417,0
671,678,800,822,508,627,517,419,0
658,677,799,820,504,650,520,409,0
646,671,799,818,500,655,531,407,0
640,664,797,817,498,657,540,416,0
634,654,795,816,502,657,541,423,0
640,657,795,817,505,656,543,437,0
642,651,795,819,505,654,541,440,0
642,656,795,819,505,653,543,439,0
642,659,795,818,507,649,544,436,0
644,660,796,817,506,646,545,439,0
644,663,795,819,505,641,543,440,0
642,660,799,820,507,638,545,442,0
641,657,799,820,507,646,547,443,0
638,652,797,820,502,653,547,445,0
637,655,798,819,505,652,549,444,0
642,657,799,818,506,647,548,445,0
641,658,799,820,504,645,549,446,0
641,658,800,821,504,645,549,445,0
642,658,801,820,505,645,549,446,0
646,659,802,818,506,640,548,444,0
645,661,800,821,507,639,546,446,0
643,660,802,821,508,640,549,445,0
642,661,803,821,509,642,551,447,0
643,661,803,821,509,642,552,448,0
642,665,803,821,514,638,552,446,0
643,664,805,820,512,638,550,448,0
644,663,804,821,511,635,549,447,0
644,662,806,819,510,631,547,448,0
642,663,805,821,509,630,547,449,0
642,663,806,823,508,628,547,449,0
642,663,807,822,512,626,550,450,0
643,662,807,823,510,627,550,451,0
642,662,806,823,512,629,550,450,0
642,661,806,820,513,625,551,449,0
643,658,806,822,511,623,551,449,0
642,655,807,823,512,620,551,449,0
640,657,806,823,510,624,551,449,0
642,657,807,820,512,627,549,449,0
643,658,807,823,510,628,547,448,0
642,658,806,821,512,621,549,448,0
643,656,809,821,512,618,551,448,0
644,656,806,822,512,619,550,448,0
640,657,808,818,513,618,549,448,0
638,655,809,821,511,620,550,448,0
641,652,809,819,510,618,548,450,0
640,652,806,821,509,621,548,450,0
639,651,808,822,508,622,550,450,0
641,652,810,820,510,622,550,451,0
640,652,809,821,510,624,550,451,0
641,652,808,822,510,625,548,451,0
640,652,808,822,511,624,550,452,0
642,651,810,821,510,627,550,454,0
640,651,809,823,511,629,551,454,0
